chunk_id,parent_doc_id,chunk_text,chunk_order,page_ref
MOSPI-M03_CH0000,MOSPI-M03,"Preface
One of the mandates of the Central Statistical Organisation (CSO) is laying down norms and
standards and evolving concepts, definitions , methodology and classification in relation to statistics.
Even though CSO has been performing these mandates in many fields of statistics, the absence of
proper documentation in this regard led to a decision to prepare statistical manuals in respect of 24
subjects detailing concepts, definition, classifications, data collection procedures, compilation of data,
estimation procedures, dissemination and other relevant explanatory notes, including methodological
framework in the statistical indicators/ statistics to make the manual a comprehensive reference book
comparable to the manuals being produced by the UNSD time to time.
‘National Accounts Statistics: Manual on Estimation of State and District Income’ is aimed to
provide to the compilers of State Domestic Product and District Domestic Product estimates, the
source data and methods/ general guidelines to be adopted for preparing these estimates. The
manual has been prepared in the National Accounts Division of the CSO under the guidance of
Steering Committee under Director General ,CSO, constituted for preparation of the manuals. I am
thankful to Shri Ram esh Kolli, Additional Director General and his team of officers and staff for their
hard work in preparing the manual. Thanks are also due to Shri Pratap Narayan and Shri R.P. Katyal
who had earlier worked in the National Accounts Division in the CSO fo r their expert
suggestions/comments on the draft which have been duly considered in its finalization.
I hope that the manual will serve as a useful reference document on the
subject. Any suggestion to further improve its contents is most welcome.

(Dr.S.K.Nath)
DG, CSO",0,1
MOSPI-M03_CH0001,MOSPI-M03,"NATIONAL ACCOUNTS STATISTICS: MANUAL ON
ESTIMATION OF STATE AND DISTRICT INCOME, 2008

CONTENTS

Chapter Topic Page No.
Introduction 1
CHAPTERS
1 Basic Concepts of National Accounts Aggregates 4
2 Gross Domestic Product (GDP) - An overview 13
3 Concepts and Definitions of State and District Domestic
Product 25
4 Recommendations of the Regional Accounts Committee 32
5 Methodology for compiling State Domestic Product 44
6 Methodology for compiling District Domestic Product 88

APPENDIX
1 Supra-Regional Sectors 104
2 Estimates of Workforce and Value Added per Worker 109
3 Estimation of Capital Formation at State level 116",1,2
MOSPI-M03_CH0002,MOSPI-M03,"INTRODUCTION 1. The CSO brings out a publicati on, “National Accounts Statistics:
Sources and Methods”, from time to time outlining the sources and
methods used in the compilation of nat ional accounts statistics for the
country. Although the concepts, pr ocedures and data sources used in
the national accounts and the ac counts prepared at the state lev el in the
form of state domestic production (SDP) and the District Domestic
Product (DDP) are similar (due to the proactive role played by the CSO
in disseminating requisite data, guiding and traini ng the states in the
preparation of SDP and DDP estimates), there has been a long felt need
for a separate manual on the estimati on of SDP and DDP. Keeping this
requirement in view, the National Accounts Divis ion of the CSO has
prepared this manual, whic h is intended to guide t he compilers of state
and district income estimates in the State Directorates of Economics and
Statistics (State DESs) by prov iding t hem with the conceptual,
methodological and source data relat ed issues in the compilation of
these estimates. The manual has been compiled by Shri Ramesh Kolli,
Additional Director General with assist ance from all the officers and staff
of the National Accounts Division.",2,3
MOSPI-M03_CH0003,MOSPI-M03,"as been compiled by Shri Ramesh Kolli,
Additional Director General with assist ance from all the officers and staff
of the National Accounts Division. 2. The estimates of State Domestic Product (SDP) and the District
Domestic Product (DDP), which respectively are taken to represent state
income and district income, are comp iled by a combination of production
and incom e approac hes (concepts of these appro aches are given in
Chapter 2) and presented by the State DESs by economic activity, suc h
as agricult ure, forestry, fisheries, mining, manufacturing, elec tricity,
construction and services. The SDP/DDP estimates are not presented
by income aggregat es of compens ation of employees and gross
operating surplus, or by expendi ture aggregates of consumption
expenditure, capital formation and net exports. The income originating
approach is followed for preparing these estimates, which means that the
SDP/DDP takes into account the unduplicated production of goods and
services produced within the geogr aphical boundary of State/District,
rather than the inc ome that acc rues to the resident producers of the
State/District.",3,3
MOSPI-M03_CH0004,MOSPI-M03,"s produced within the geogr aphical boundary of State/District,
rather than the inc ome that acc rues to the resident producers of the
State/District. 3. Compilation of SD P/DDP is a painstakin g effort, which requires
extensive data on the economic ac tivities carried out within the
geographical boundaries of State/Distric t. In order to ensure that
SDP/DDP measures compiled are re liable, the compilers of these
estimates aim to achieve the exhaus tiveness of SDP/DDP meas ures, to
the extent feasible. Howe ver, the data that is avai lable at state/district
level on v arious economic activities is not sufficient for ex haustively
measuring the SDP/DDP. Therefore, the compilers of these estimates
often have to resort to applying va rious rates and ratios or proxy
indicators to assess the contribution of all economic activities in as
exhaustive means as possible. 1",4,3
MOSPI-M03_CH0005,MOSPI-M03,"4. In this background, this manual aims to provide to the compilers
of SDP/DDP estimates, the s ources of data and methods/ general
guidelines to be adopted for preparing these estimates. Broadly, the
SDP/DDP represent at stat e/district level, what Gross Domestic Product
(GDP) represents at national level. Therefore, the methodology of
compiling SDP/DDP estimates would also be similar to that of GDP, with
the exception to the constraints impos ed by the data limitations. A
comprehensive document on the co mpilation of GDP and national
accounts in general, is av ailable in the public domain, in the f orm of
“National Accounts Statistics: Sources and Methods, 2007”. This manual
on SDP/DDP compilation, therefore, draws heavily from this publication. 5. The first chapter of this manual gives the basic con cepts of
National Accounts Aggregates. T hese concepts are neede d to be
understood by the SDP/DDP compile rs, as the national accounts
concepts are similar at every level of geographical regions. Although, at
state and district level the expenditure GDP aggr egates are not required
to be compiled (or generally not possible), this Chapter includes, besides
the definition of domestic produc t and production, the concepts of
income and expendit ure approaches to compiling domestic product,
forms of income, categories of expenditure, government final
consumption expenditure, gross c apital formation, savings, private
income, personal income, personal di sposable inc ome, national versus
domestic concept, gross versus net concept and currents versus
constant prices.",5,4
MOSPI-M03_CH0006,MOSPI-M03,"income, personal income, personal di sposable inc ome, national versus
domestic concept, gross versus net concept and currents versus
constant prices. 6. The second chapter deals, more specifically with the concepts of
Gross Domestic Product, as S DP/DDP follow similar concepts of GDP.
This Chapt er provides details with respect to methodological iss ues in
measuring output with production appr oach viz market output, output
produced for own final use, other non- market output, intermediate
consumption. It also discusses va luation of out put, intermediate
consumption and value added, basic and producer’s prices, gross value
added at basic pric es, gross value added at producer’s prices, gross
value added at factor cost. It further discusses the methodological issues
relating to income approach GDP and expenditure approach GDP. 7. The third chapter provides an overview of the historica l
background to the developm ent of state and district income estimates.
Besides, this chapter also contains a brief write-up on the conceptual
issues and broad procedures of compilation of SDP/DDP estimates. The
gist of recommendations made by the Regional Accounts Committee on
the compilation of accounts at regional level, is given in Chapter 4. 8. The fifth and sixth c hapters re spectively deal with the sources
and methods used in the compilation of estimates of SDP/DDP f or each
industrial activity. The methodology is disc ussed sector-wise, namely,
agriculture and allied activities, forest ry and logging, fishing, min ing and
quarrying, registered manufacturi ng, unregistered manufacturing,
electricity gas and water supply, construction, trade hotel and
2",6,4
MOSPI-M03_CH0007,MOSPI-M03,"restaurants, transport storage and communication, real estate,
ownership of dwellings, business services, legal services, public
administration and other services. 9. In addition to the above 6 C hapters, the manual cont ains three
Appendixes. The first appendix discusses the methodology with respect
to preparation of estimates of ce rtain economic activ ities which
transcend the state boundaries, such as central gov ernment
administration, railway s, etc., due to which their economic contribution
cannot be assigned to one particular stat e. This Chapter provides the
manner in which the estimates of gr oss value added of such sectors are
allocated to the States. 10. In the compilation of SDP/DDP estimates, the data on workforce
and value added p er worker (VAPW) prov ide important inputs. Thes e
workforce and VAPW estimates are necessary for segments of economy
where it is not possible to c ompile the value added of an industry
(particularly for the unorganized s egments of the ec onomy at national
level and f or the private segments of the state and dist rict economies),
directly as output minus inputs. For these segments, the estimates of
value added in each activity or gr oup of activities, are complied as a
product of (i) labour input as est imates of workforce and (ii) productivity
of labour as estimates of value added per worker. The labour inputs are
also us ed, in s ome c ases, for allo cation of national level estim ates to
state levels and from state levels to district levels, where direct data or
suitable physical indic ators are not available. Appendix 2 giv es the
details on the estimation of wor kforce and value added per worker at
state and district level.",7,5
MOSPI-M03_CH0008,MOSPI-M03,"l indic ators are not available. Appendix 2 giv es the
details on the estimation of wor kforce and value added per worker at
state and district level. 11. Appendix 3 provides the methodology for estimation of domestic
capital for mation at state level. It discusses the concepts of capital
formation, types of assets and classification of assets and liabilities. Only
few states are preparing the estimate s of gross fixed capital formation,
but several states compile estimates of capital formation for the public
sector. 3",8,5
MOSPI-M03_CH0009,MOSPI-M03,"CHAPTER 1
BASIC CONCEPTS OF NATIONAL ACCOUNTS AGGREGATES Introduction
1.1 The bas ic concepts and definitions of t he terms used in national
accounts largely follow those given in the System of National Accounts (SNA)
of the United Nations, World Bank, International Monetary Fund (IMF),
Organisation for the Economic Coooperat ion and Dev elopment (OECD) and
the European Union. The following paragraphs describe the major concepts
used in National Accounts St atistics and the inter rela tionship particularly of
those relating to national product, consumption, saving and capital formation. National Product
1.2 National product by defin ition is a measure in monetary terms of the
volume of all goods and servic es produced by an economy during a giv en
period of time, accounted without duplication. The measure has to be in value
terms as the different units of producti on and different measures of services
are not directly additive. In the ca se of a closed economy the measure
amounts to domestic product. An important characteristic of this measure is
its comprehensivenes s. The measure covers all the goods and services
produced by the residents of a country. Thus the goods cover all possible
items produced, as for example, agric ultural crops, livestock and livestock
products, fish, forest products, mineral products, manufacturing of various
consumer items for consumption, mach inery, transport equipments, defence
equipments etc., construction of buildi ngs, roads, dams, bridges etc. The
services similarly cov er a wide spectr um including medical and educational
services, defence services, financial services, transport services, trading
services, domestic services, sanitary services, government services, etc.",9,6
